case_id,cycle,load_factor,threshold,support_area,centroid_x,centroid_y,rms_width_x,rms_width_y,crack_tip_x,damaged_component_size,right_boundary_connected_size,event_hit_reconstructed
T3_loading_history,32,1.0,0.00405784233827383,0.0017808110508932703,0.08441500638202448,-0.00110629765045752,0.009977528802655525,0.011003087861448047,0.0807865330439681,596,0,False
T3_loading_history,33,1.0,0.004953379896446386,0.0016750439047216407,0.09181875845812686,-0.0009584144831939388,0.009291813765939119,0.010472909101309113,0.08891639794830024,604,0,False
T3_loading_history,34,1.0,0.007292107612788222,0.001776757694176837,0.1017490077985804,-0.00033541347039488424,0.00878105654523781,0.007768086075807239,0.1010351831271227,617,0,False
T3_loading_history,35,1.0,0.0067240943874989694,0.0018632840350658675,0.11310708103856545,0.00040802557116719883,0.008439511767985283,0.007904214605636423,0.1111325013915724,627,0,False
T3_loading_history,36,1.0,0.001415350269950817,0.0024459162450426067,0.11519424351673224,-0.001229626417850302,0.037151530292793646,0.02749823087072805,0.1130861794617409,630,0,False
T3_loading_history,37,1.0,0.008908900471977194,0.001934476514549248,0.12982539065219878,0.000336167143038487,0.008872337066816512,0.007586241723790009,0.1304933030704698,648,0,False
T3_loading_history,38,1.0,0.0038426487835797065,0.0016992889634422277,0.14024493130543023,-0.0003178726033854121,0.01871729533177597,0.014842145763240487,0.1362966668961761,655,0,False
T3_loading_history,39,1.0,0.007630576624016736,0.0017416608568390857,0.1508057979772875,1.982184749540929e-05,0.008022507997165692,0.007541431475878325,0.1496783456184055,670,0,False
T3_loading_history,40,1.0,0.005380389513323106,0.001802971260631107,0.16100143080952076,-0.0009669875837575411,0.009329508706710036,0.01037153571289244,0.1576580185062021,680,0,False
T3_loading_history,41,1.0,0.004927117192437423,0.001686654185604264,0.16907375724345053,-0.0006609827030090863,0.010649293532902102,0.01367192507189962,0.1656525835891462,687,0,False
T3_loading_history,42,1.0,0.007822245564452752,0.0017270289363966276,0.18001954537979642,-0.00020755037102493468,0.00802412073465342,0.007576525424547588,0.1795882837438953,702,0,False
T3_loading_history,43,1.0,0.0076631672066881954,0.001880268018095681,0.1932562897808646,-0.00038000025620624195,0.008416292402598412,0.007718620690961422,0.1934090274945601,715,0,False
T3_loading_history,44,1.0,0.007599532307627079,0.0017538123745502949,0.2068572909350222,-0.0004963723256847101,0.008146336332658207,0.007474819865891183,0.2054196069709164,728,0,False
T3_loading_history,45,1.0,0.005208477983265054,0.001806678638440134,0.21692599786542552,-0.0003030083485014634,0.008921830665269423,0.010458411470809312,0.2133947050463892,736,0,False
T3_loading_history,46,1.0,0.005620441403999505,0.001614390307482167,0.22595115358202766,-0.0008620591760722582,0.008233610123152373,0.01002988257669001,0.2236001798328855,745,0,False
T3_loading_history,47,1.0,0.007540467080948579,0.001766083591262704,0.23690481869175725,-0.0015147809604485038,0.008069702783167276,0.007593390513972322,0.2358313156750043,758,0,False
T3_loading_history,48,1.0,0.0072064128951855105,0.001803089214443842,0.24946208474951564,-0.0008773589635666661,0.008218071676602318,0.0077371920538019485,0.2481704506419132,771,0,False
T3_loading_history,49,1.0,0.007605586740362482,0.0017660848802882236,0.26245918621645625,2.0843218935741996e-05,0.008144407371778324,0.0076141049754677404,0.2624002685563678,784,0,False
T3_loading_history,50,1.0,0.007476580364995291,0.0019354972385082067,0.27528285075888986,4.4686558833374194e-05,0.008629227953375803,0.007838512928916193,0.2745852735034472,797,0,False
