reference,cycle,fem_cycle,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL,fem_E_d_abs,pidl_E_d_abs,abs_E_d_PIDL_over_FEM
"FEM n_step2 [1,0]",3,3,2,g_alpha,right_band_mean,1.0000102556143937,1.0001280307769775,1.0001177739547396,0.9998822399143314,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,tip_2l0_integral,0.0003448753983887953,0.0006885058828629553,1.9963902501586044,0.5009040691921605,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,tip_2l0_mean,0.5526849008776191,0.5447039604187012,0.9855596915236062,1.0146518862333647,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,tip_4l0_integral,0.001997138473077101,0.004013335332274437,2.0095428466163745,0.49762561752976736,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,tip_4l0_mean,0.7975792705082537,0.7975626587867737,0.9999791723254424,1.0000208281083587,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,tip_l0_integral,4.0302121786760345e-05,7.133273174986243e-05,1.7699497839663607,0.5649877804776217,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,tip_l0_mean,0.23989356318919366,0.22016273438930511,0.9177517373222402,1.0896192939037508,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,top1_mean,1.0000111868435824,1.0002729892730713,1.0002617995007788,0.999738269020261,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,crack_strip_mean,0.006903548660025442,0.006906080991029739,1.00036681584052,0.9996333186640025,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,domain_mean,0.004788760633967184,0.004783943295478821,0.9989940323067741,1.0010069806832609,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,max,0.25645054631115255,0.41150492429733276,1.6046170702949178,0.6232016463692529,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,p99,0.034128080189509864,0.03512914478778839,1.029332578707027,0.9715033029034479,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,p999,0.10808322185072357,0.11390099674463272,1.0538268085859268,0.9489225286855684,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,right_band_mean,0.008559867775254516,0.008582687005400658,1.002665839092995,0.9973412487101321,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,tip_2l0_integral,3.4954907116559105e-05,7.010122499195859e-05,2.005475933842482,0.4986347545362985,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,tip_2l0_mean,0.05601747606572541,0.055459827184677124,0.9900450909213762,1.0100550057466164,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,tip_4l0_integral,7.690610871584691e-05,0.00015634787268936634,2.0329707912675867,0.4918909825440657,,,
